Aura Nail Bar & Salon,"Tricity Avenue, Shop No 1,, Plot No 181, Sector 20,, Ulwe, Navi Mumbai - 410206, Opposite Platinium Palacio",07947185953
Basil Bliss Salon,"Shop No 2&3, Sunrise Building, Lane No 2 Shastri Nagar, Lokhandwala Complex-Andheri West, Mumbai - 400053, Opposite North Exchange",07947177546
Panache Salon - Advanced Sk..,"Nancy Cottage, Shop H 2/3, Nancy Colony, Borivali East, Mumbai - 400066, Opposite Poddar Kids, Near Jain Mandir",07947181716
Rias Beauty Salon,"Shop No 2 Modern Vivek Chs Ltd, Mamlatdar Wadi Main Road, Malad West, Mumbai - 400064, Near Ashray Hotel, Liberty Garden",07947180054
Lookout Salon & Academy,"Shop No 1 & 2 ; Sun Sumit Building,, New Link Road, Chikuwadi, Borivali West, Mumbai - 400092, Opposite Sattva Hotel",07947187807
S N Beauty & Spa Saloon,"104, 1st Floor, Sagrika Co Operative Housing Society, Juhu Tara Road, Juhu, Mumbai - 400049, Opposite Ramada Palmgrove",07947172500
Abrielle Salon,"Shop No 1/A ,Rameshwaram Chs Ltd, Shop No 1/A ,Rameshwaram Chs Ltd, Dahisar East, Mumbai - 400068, Near Union Bank",07947277138
Style Salon,"Shop No 07, Sukur Garden, Kolshet Road-Sandoz Baug, Sandoz Baug, Thane - 400607, Near Runwal Pearl",07947176088
Unique  Salon & Spa,"Shop No. 4/5 Laxman Niwas Building, Near Witty International School, Malad West, Mumbai - 400064",07947188730
Zaras Salon & Spa,"Shop No 3, Mira Darshan Complex, MTNL Road, Mira Road, Thane - 401107, Opposite Jangid Tower, Near Jangid Circle",07947179875
7 Star Make Over Salon & Ac..,"Shop No 1, Plot No 9 and 10, Gangotri Building, Sector 21, Kamothe Sector 21, Navi Mumbai - 410206, Opposite SBI Bank Khandeshwar Branch",07947175594
Anaya Unisex Salon,"Shop No:11/12, Swarg Heights, D-Mart Lane, Bhayandar West, Thane - 401101, Opposite Salasar Business Park",07947192042
Cut D Crap,"Shop No 21, Veena Apartment, New Link Road, Goregaon West, Mumbai - 400104, Near Sejal Park, Motilal Nagar",07947172407
Petals The Health & Beauty ..,"Shop No. 7/8(Ground Floor), 20 (First Floor) RNA Shopping Arcade, Andheri West, Mumbai - 400053, Next to High Point Restaurant, Lokhandwala Market",07947171383
The Bb Salon Beyond Beauty,"Shop No. 35, Patel Heritage, Sector 7, Kharghar, Navi Mumbai - 410210",07947180392
Royal 77 Family Salon,"Shop No 9 Dosti Planet, Dosti Planet North, Mumbra, Thane - 400612, Near Shillphata",07947162419
S N Beauty & Spa Saloon,"104, 1st Floor, Sagrika Co Operative Housing Society, Juhu Tara Road, Juhu, Mumbai - 400049, Opposite Ramada Palmgrove",07947172500
Louis Unisex Salon,"Twinkle Apartments , B Wing 101, Off Link Road, Andheri West, Mumbai - 400053, Near Infiniti Mall",07947226149
Elegance Salon & Spa,"Opp Yogi Residancy, Yogi Nagar, Borivali West, Mumbai - 400091, Opposite Yogi Rejency Building, and Near Swami Narayan Temple",07947187040
Jawed Habib Hair & Beauty S..®,"Shop No 1, German Pride Building, Tardeo, Mumbai - 400034, Opposite Mahindra Heights, Near AC Market",07947172443
Elnett Unisex Salon,"Shop No 10, Runwal Anthurium, L B S Marg, Mulund West, Mumbai - 400080, Veena Nagar, Opposite Bank Of Baroda",07947180210
Dreams 29 Unique Family Sal..,"Shop No.1,Shivsthan Apt, Ghodbunder Road, Manpada-Thane West, Thane - 400607, Opp Akansha Garden,Next Acme Zone Bldg",07947190822
Gloss Unisex Salon,"Shop 2,New Rupali Building, Evershine Nagar, Malad West, Mumbai - 400064, Near New Link Road",07947188255
Smart Cut Family Salon,"Shop No.1, Deep Sundar Lane Building, Sundar Lane, Malad West, Mumbai - 400064, Next to Shree Balaji International School",08045788740
Studio 13 Family Salon,"Shop No 25, Moraj Residency, Sector 16, Sanpada, Navi Mumbai - 400703, Next to Axis Bank",08045791401
Hair and Beauty Mahavir Nag..,"Shop No.9, Raj Garden Co-Operative Housing Society Pvt Ltd, Mahavir Nagar, Kandivali West, Mumbai - 400067, Besides Royal Chemist, Near Axis Bank",07947181936
Riddhi Siddhi Unisex Salon,"15, Mulji House, Veer Sawarkar Marg, Prabhadevi, Mumbai - 400025, Opp Prabhadevi Police Chowki",07947172923
